countryname,countrycode,co2,gdp,anio
Australia                                                                       ,AUS ,319036.5990000,3299.8432070,1970
Australia                                                                       ,AUS ,314446.1490000,3489.9522940,1971
Australia                                                                       ,AUS ,355430.7710000,3943.7876390,1972
Australia                                                                       ,AUS ,333243.5630000,4763.6283900,1973
Australia                                                                       ,AUS ,355842.8650000,6473.1651530,1974
Australia                                                                       ,AUS ,377568.6540000,6994.2099270,1975
Australia                                                                       ,AUS ,407572.6060000,7476.7487480,1976
Australia                                                                       ,AUS ,414927.1130000,7765.0705440,1977
Australia                                                                       ,AUS ,377956.1340000,8241.9972760,1978
Australia                                                                       ,AUS ,412123.0220000,9281.5233560,1979
Australia                                                                       ,AUS ,433837.4380000,10194.3187000,1980
Australia                                                                       ,AUS ,387882.4390000,11833.7432100,1981
Australia                                                                       ,AUS ,428739.9620000,12766.5222500,1982
Australia                                                                       ,AUS ,386673.5580000,11518.6685200,1983
Australia                                                                       ,AUS ,398135.5190000,12431.9458500,1984
Australia                                                                       ,AUS ,456717.6440000,11437.6644600,1985
Australia                                                                       ,AUS ,434735.1050000,11364.2394600,1986
Australia                                                                       ,AUS ,434706.1640000,11624.5395900,1987
Australia                                                                       ,AUS ,434706.1640000,14254.5575700,1988
Australia                                                                       ,AUS ,460970.0080000,17798.3142400,1989
Australia                                                                       ,AUS ,482298.2620000,18211.2745900,1990
Australia                                                                       ,AUS ,499346.7300000,18821.4773900,1991
Australia                                                                       ,AUS ,486991.9820000,18569.8127500,1992
Australia                                                                       ,AUS ,479463.7440000,17634.2563500,1993
Australia                                                                       ,AUS ,522429.5400000,18046.0202400,1994
Australia                                                                       ,AUS ,489294.1470000,20319.6306300,1995
Australia                                                                       ,AUS ,508882.8260000,21861.3255100,1996
Australia                                                                       ,AUS ,920773.4800000,23468.5968300,1997
Australia                                                                       ,AUS ,920773.4800000,21318.9641700,1998
Australia                                                                       ,AUS ,1190138.3800000,20533.0350600,1999
Australia                                                                       ,AUS ,1081244.4100000,21679.2478400,2000
Australia                                                                       ,AUS ,1241515.9900000,19490.8611100,2001
Australia                                                                       ,AUS ,1117450.0200000,20082.4832700,2002
Australia                                                                       ,AUS ,1023667.5800000,23447.0310000,2003
Australia                                                                       ,AUS ,1144343.8700000,30430.6764400,2004
Australia                                                                       ,AUS ,909262.0300000,33999.2428600,2005
Australia                                                                       ,AUS ,1119632.1000000,36044.9228100,2006
Australia                                                                       ,AUS ,892629.2700000,40960.0544900,2007
Australia                                                                       ,AUS ,892629.2700000,49601.6567100,2008
Australia                                                                       ,AUS ,1105167.2360000,42772.3591700,2009
Australia                                                                       ,AUS ,782102.6922000,52022.1256000,2010
Australia                                                                       ,AUS ,785795.1500000,62517.8337500,2011
Australia                                                                       ,AUS ,761686.2739000,68012.1479000,2012
