countryname,countrycode,co2,gdp,anio
Bangladesh                                                                      ,BGD ,112709.2960000,140.0027140,1970
Bangladesh                                                                      ,BGD ,107540.6250000,133.5514230,1971
Bangladesh                                                                      ,BGD ,109807.2650000,94.3816785,1972
Bangladesh                                                                      ,BGD ,111165.3180000,119.5597434,1973
Bangladesh                                                                      ,BGD ,110459.4270000,182.0199894,1974
Bangladesh                                                                      ,BGD ,115099.3040000,277.5706409,1975
Bangladesh                                                                      ,BGD ,113276.5900000,141.1971688,1976
Bangladesh                                                                      ,BGD ,114977.8900000,131.3732434,1977
Bangladesh                                                                      ,BGD ,118409.6240000,176.0339498,1978
Bangladesh                                                                      ,BGD ,120688.2930000,200.7696641,1979
Bangladesh                                                                      ,BGD ,115248.3810000,227.7519465,1980
Bangladesh                                                                      ,BGD ,116074.2380000,247.6496198,1981
Bangladesh                                                                      ,BGD ,117881.5590000,220.7188101,1982
Bangladesh                                                                      ,BGD ,112921.9330000,204.4176782,1983
Bangladesh                                                                      ,BGD ,118499.6860000,213.9966579,1984
Bangladesh                                                                      ,BGD ,118777.2480000,245.4539042,1985
Bangladesh                                                                      ,BGD ,121513.9830000,233.6580471,1986
Bangladesh                                                                      ,BGD ,122476.9310000,253.9744631,1987
Bangladesh                                                                      ,BGD ,122476.9310000,270.6996009,1988
Bangladesh                                                                      ,BGD ,126358.6380000,285.8292140,1989
Bangladesh                                                                      ,BGD ,126701.6960000,306.2687038,1990
Bangladesh                                                                      ,BGD ,126700.0130000,293.1604155,1991
Bangladesh                                                                      ,BGD ,128626.2440000,293.6449985,1992
Bangladesh                                                                      ,BGD ,128901.6760000,300.5557532,1993
Bangladesh                                                                      ,BGD ,131295.6090000,299.5330397,1994
Bangladesh                                                                      ,BGD ,136508.3290000,329.4240846,1995
Bangladesh                                                                      ,BGD ,139004.8940000,394.7174751,1996
Bangladesh                                                                      ,BGD ,129129.5060000,401.4986908,1997
Bangladesh                                                                      ,BGD ,129129.5060000,407.4291862,1998
Bangladesh                                                                      ,BGD ,138323.9000000,409.5431969,1999
Bangladesh                                                                      ,BGD ,136012.9000000,418.0689683,2000
Bangladesh                                                                      ,BGD ,142753.5280000,415.0344266,2001
Bangladesh                                                                      ,BGD ,143812.5730000,413.0802546,2002
Bangladesh                                                                      ,BGD ,146424.2510000,446.3106592,2003
Bangladesh                                                                      ,BGD ,147368.1700000,475.2919198,2004
Bangladesh                                                                      ,BGD ,151091.7020000,499.4619402,2005
Bangladesh                                                                      ,BGD ,155320.5040000,509.6401429,2006
Bangladesh                                                                      ,BGD ,164700.5030000,558.0518603,2007
Bangladesh                                                                      ,BGD ,164700.5030000,634.9870565,2008
Bangladesh                                                                      ,BGD ,169927.9133000,702.2644100,2009
Bangladesh                                                                      ,BGD ,177504.4736000,781.1535936,2010
Bangladesh                                                                      ,BGD ,180498.4330000,861.7584443,2011
Bangladesh                                                                      ,BGD ,183300.5624000,883.1050005,2012
