countryname,countrycode,co2,gdp,anio
Brasil                                                                          ,BRA ,1260982.1460000,445.0231006,1970
Brasil                                                                          ,BRA ,968552.5180000,504.7495161,1971
Brasil                                                                          ,BRA ,1138194.3370000,586.2144050,1972
Brasil                                                                          ,BRA ,1022867.6440000,775.2733003,1973
Brasil                                                                          ,BRA ,1098489.8020000,1004.1049100,1974
Brasil                                                                          ,BRA ,1214606.7430000,1153.8309580,1975
Brasil                                                                          ,BRA ,1384864.3460000,1390.6249750,1976
Brasil                                                                          ,BRA ,1173040.9010000,1567.0061820,1977
Brasil                                                                          ,BRA ,1343364.2300000,1744.2571290,1978
Brasil                                                                          ,BRA ,1415028.5780000,1908.4876270,1979
Brasil                                                                          ,BRA ,1499555.5160000,1947.2764300,1980
Brasil                                                                          ,BRA ,1392080.6790000,2132.8833170,1981
Brasil                                                                          ,BRA ,1445809.2360000,2226.7672610,1982
Brasil                                                                          ,BRA ,1458951.5720000,1570.5397470,1983
Brasil                                                                          ,BRA ,1260054.2740000,1578.9264170,1984
Brasil                                                                          ,BRA ,1322535.3470000,1648.0821040,1985
Brasil                                                                          ,BRA ,1405162.3610000,1941.4911090,1986
Brasil                                                                          ,BRA ,1454114.8310000,2087.3076050,1987
Brasil                                                                          ,BRA ,1454114.8310000,2300.3768440,1988
Brasil                                                                          ,BRA ,1476408.9510000,2908.4961580,1989
Brasil                                                                          ,BRA ,1606209.3340000,3100.2804680,1990
Brasil                                                                          ,BRA ,1569962.2200000,3975.3900890,1991
Brasil                                                                          ,BRA ,1649183.8040000,2596.9198760,1992
Brasil                                                                          ,BRA ,1772640.5300000,2791.2091240,1993
Brasil                                                                          ,BRA ,1455453.2240000,3500.6114900,1994
Brasil                                                                          ,BRA ,1574445.6290000,4748.2155290,1995
Brasil                                                                          ,BRA ,1613760.4370000,5166.1637450,1996
Brasil                                                                          ,BRA ,2263725.6300000,5282.0088280,1997
Brasil                                                                          ,BRA ,2263725.6300000,5087.1522210,1998
Brasil                                                                          ,BRA ,1595863.2600000,3478.3727300,1999
Brasil                                                                          ,BRA ,1222630.4300000,3749.7532500,2000
Brasil                                                                          ,BRA ,1277451.8800000,3156.7987180,2001
Brasil                                                                          ,BRA ,1591827.0500000,2829.2831920,2002
Brasil                                                                          ,BRA ,1624554.7000000,3070.9104910,2003
Brasil                                                                          ,BRA ,1967427.3900000,3637.4623890,2004
Brasil                                                                          ,BRA ,2386439.6800000,4790.4370880,2005
Brasil                                                                          ,BRA ,1621079.2300000,5886.4635880,2006
Brasil                                                                          ,BRA ,1532859.8300000,7348.0307940,2007
Brasil                                                                          ,BRA ,1532859.8300000,8831.0231170,2008
Brasil                                                                          ,BRA ,1211969.4080000,8597.9153520,2009
Brasil                                                                          ,BRA ,2902242.6180000,11286.2430200,2010
Brasil                                                                          ,BRA ,2953040.5190000,13245.6125000,2011
Brasil                                                                          ,BRA ,2989417.9570000,12370.0242000,2012
