countryname,countrycode,co2,gdp,anio
China                                                                           ,CHN ,1873971.6750000,113.1629916,1970
China                                                                           ,CHN ,1914331.7700000,118.6545778,1971
China                                                                           ,CHN ,1999689.0650000,131.8835612,1972
China                                                                           ,CHN ,2057487.3800000,157.0903743,1973
China                                                                           ,CHN ,2073854.5100000,160.1400937,1974
China                                                                           ,CHN ,2264422.9200000,178.3418196,1975
China                                                                           ,CHN ,2327790.4000000,165.4055404,1976
China                                                                           ,CHN ,2516150.8770000,185.4228329,1977
China                                                                           ,CHN ,2726399.8900000,156.3963885,1978
China                                                                           ,CHN ,2773803.8170000,183.9831522,1979
China                                                                           ,CHN ,2757430.0900000,194.8047222,1980
China                                                                           ,CHN ,2724309.2370000,197.0714745,1981
China                                                                           ,CHN ,2815057.9370000,203.3349195,1982
China                                                                           ,CHN ,2950585.5910000,225.4319289,1983
China                                                                           ,CHN ,3135783.7470000,250.7139690,1984
China                                                                           ,CHN ,3142896.3740000,294.4588485,1985
China                                                                           ,CHN ,3282780.7870000,281.9281209,1986
China                                                                           ,CHN ,3680670.8470000,251.8119570,1987
China                                                                           ,CHN ,3680670.8470000,283.5376952,1988
China                                                                           ,CHN ,3800686.2100000,310.8819124,1989
China                                                                           ,CHN ,3892675.1600000,317.8846730,1990
China                                                                           ,CHN ,4035212.6070000,333.1421454,1991
China                                                                           ,CHN ,4172493.2950000,366.4606923,1992
China                                                                           ,CHN ,4398290.8200000,377.3898395,1993
China                                                                           ,CHN ,4613489.2470000,473.4922787,1994
China                                                                           ,CHN ,5042349.1200000,609.6566792,1995
China                                                                           ,CHN ,5181880.5140000,709.4137551,1996
China                                                                           ,CHN ,5141402.7000000,781.7441643,1997
China                                                                           ,CHN ,5141402.7000000,828.5804793,1998
China                                                                           ,CHN ,5079293.7000000,873.2870617,1999
China                                                                           ,CHN ,5082325.6000000,959.3724836,2000
China                                                                           ,CHN ,5145521.5500000,1053.1082430,2001
China                                                                           ,CHN ,5474914.9000000,1148.5082900,2002
China                                                                           ,CHN ,6226962.5000000,1288.6432520,2003
China                                                                           ,CHN ,7116642.4000000,1508.6680980,2004
China                                                                           ,CHN ,7803535.6000000,1753.4178290,2005
China                                                                           ,CHN ,8573395.4000000,2099.2294350,2006
China                                                                           ,CHN ,10022024.8000000,2693.9698270,2007
China                                                                           ,CHN ,10022024.8000000,3468.3044630,2008
China                                                                           ,CHN ,10617264.9000000,3832.2359520,2009
China                                                                           ,CHN ,11183810.6000000,4550.4535960,2010
China                                                                           ,CHN ,12064260.0000000,5618.1324910,2011
China                                                                           ,CHN ,12454710.6100000,6316.9188630,2012
