countryname,countrycode,co2,gdp,anio
India                                                                           ,IND ,746498.1100000,112.4344935,1970
India                                                                           ,IND ,754018.4750000,118.6032421,1971
India                                                                           ,IND ,767242.3600000,122.9818639,1972
India                                                                           ,IND ,773571.6150000,143.7786881,1973
India                                                                           ,IND ,796885.3600000,163.4781112,1974
India                                                                           ,IND ,827298.0450000,158.0361718,1975
India                                                                           ,IND ,852598.2400000,161.0920917,1976
India                                                                           ,IND ,871680.0450000,186.2135013,1977
India                                                                           ,IND ,875174.3200000,205.6933861,1978
India                                                                           ,IND ,905452.5950000,224.0010168,1979
India                                                                           ,IND ,929414.7700000,266.5778481,1980
India                                                                           ,IND ,979738.3500000,270.4706024,1981
India                                                                           ,IND ,1011305.4900000,274.1113314,1982
India                                                                           ,IND ,1059291.5700000,291.2381101,1983
India                                                                           ,IND ,1117754.1000000,276.6679586,1984
India                                                                           ,IND ,1140356.7900000,296.4351516,1985
India                                                                           ,IND ,1199500.6100000,310.4659351,1986
India                                                                           ,IND ,1305250.6300000,340.4168316,1987
India                                                                           ,IND ,1305250.6300000,354.1492516,1988
India                                                                           ,IND ,1365390.7800000,346.1128873,1989
India                                                                           ,IND ,1387371.8200000,367.5566093,1990
India                                                                           ,IND ,1443266.2800000,303.0556053,1991
India                                                                           ,IND ,1486420.6000000,316.9539279,1992
India                                                                           ,IND ,1521727.9000000,301.1590042,1993
India                                                                           ,IND ,1581028.2200000,346.1029503,1994
India                                                                           ,IND ,1651503.0100000,373.7664800,1995
India                                                                           ,IND ,1708836.9700000,399.9500768,1996
India                                                                           ,IND ,1768965.0000000,415.4937970,1997
India                                                                           ,IND ,1768965.0000000,413.2989342,1998
India                                                                           ,IND ,1956039.0000000,441.9987596,1999
India                                                                           ,IND ,1885189.0000000,443.3141934,2000
India                                                                           ,IND ,1875600.8500000,451.5730011,2001
India                                                                           ,IND ,1917294.6600000,470.9867859,2002
India                                                                           ,IND ,1976449.1500000,546.7266145,2003
India                                                                           ,IND ,2090334.8500000,627.7742473,2004
India                                                                           ,IND ,2117460.5900000,714.8610135,2005
India                                                                           ,IND ,2232760.1100000,806.7532806,2006
India                                                                           ,IND ,2438714.2800000,1028.3347710,2007
India                                                                           ,IND ,2438714.2800000,998.5223390,2008
India                                                                           ,IND ,2594639.9170000,1101.9608400,2009
India                                                                           ,IND ,2771456.7560000,1357.5637190,2010
India                                                                           ,IND ,2828845.8290000,1458.1035270,2011
India                                                                           ,IND ,3002894.9280000,1443.8795290,2012
