countryname,countrycode,co2,gdp,anio
México                                                                          ,MEX ,210547.8556000,689.7949287,1970
México                                                                          ,MEX ,215289.4150000,738.5583789,1971
México                                                                          ,MEX ,229445.0670000,826.4773653,1972
México                                                                          ,MEX ,241668.3770000,981.4591048,1973
México                                                                          ,MEX ,266400.7170000,1242.0902140,1974
México                                                                          ,MEX ,280289.6460000,1476.3130680,1975
México                                                                          ,MEX ,292167.4570000,1453.6706480,1976
México                                                                          ,MEX ,304657.5450000,1301.3247260,1977
México                                                                          ,MEX ,332679.4200000,1589.2737140,1978
México                                                                          ,MEX ,362012.5170000,2034.9890070,1979
México                                                                          ,MEX ,387137.4100000,3027.3750500,1980
México                                                                          ,MEX ,407085.7830000,3803.0308710,1981
México                                                                          ,MEX ,452477.3280000,2597.9827570,1982
México                                                                          ,MEX ,420752.5990000,2147.7197650,1983
México                                                                          ,MEX ,436648.9800000,2478.2108360,1984
México                                                                          ,MEX ,443037.1400000,2569.2397470,1985
México                                                                          ,MEX ,442988.9420000,1733.9131500,1986
México                                                                          ,MEX ,462185.1970000,1862.8862040,1987
México                                                                          ,MEX ,462185.1970000,2247.9814970,1988
México                                                                          ,MEX ,473325.8000000,2687.9148120,1989
México                                                                          ,MEX ,494151.0200000,3112.2687060,1990
México                                                                          ,MEX ,505174.0280000,3661.9478790,1991
México                                                                          ,MEX ,494645.6400000,4170.6232870,1992
México                                                                          ,MEX ,502121.0570000,5650.0262860,1993
México                                                                          ,MEX ,520225.7720000,5854.4178570,1994
México                                                                          ,MEX ,515961.2120000,3928.2239260,1995
México                                                                          ,MEX ,532804.4270000,4412.1163450,1996
México                                                                          ,MEX ,692323.1800000,5289.1679880,1997
México                                                                          ,MEX ,692323.1800000,5481.1814970,1998
México                                                                          ,MEX ,553847.3400000,6157.1924750,1999
México                                                                          ,MEX ,576489.5200000,7157.8145000,2000
México                                                                          ,MEX ,547960.5800000,7544.5686480,2001
México                                                                          ,MEX ,567679.6600000,7593.1377930,2002
México                                                                          ,MEX ,601685.7200000,7075.3696430,2003
México                                                                          ,MEX ,567790.0600000,7484.4865420,2004
México                                                                          ,MEX ,641308.8200000,8277.6712510,2005
México                                                                          ,MEX ,642137.7700000,9068.2943870,2006
México                                                                          ,MEX ,644167.9600000,9642.6806050,2007
México                                                                          ,MEX ,644167.9600000,10016.5713000,2008
México                                                                          ,MEX ,648860.0791000,8002.9721060,2009
México                                                                          ,MEX ,643375.4336000,9271.3982330,2010
México                                                                          ,MEX ,652861.2915000,10203.4208500,2011
México                                                                          ,MEX ,663424.9544000,10241.7279200,2012
