countryname,countrycode,co2,gdp,anio
Alemania                                                                        ,DEU ,1286569.8500000,2761.1668360,1970
Alemania                                                                        ,DEU ,1283784.3000000,3192.1336180,1971
Alemania                                                                        ,DEU ,1300781.1800000,3809.9814470,1972
Alemania                                                                        ,DEU ,1364682.3200000,5046.7551070,1973
Alemania                                                                        ,DEU ,1336033.7200000,5639.0776180,1974
Alemania                                                                        ,DEU ,1273609.6600000,6236.3588850,1975
Alemania                                                                        ,DEU ,1336497.0600000,6634.8568990,1976
Alemania                                                                        ,DEU ,1315704.6700000,7682.9537760,1977
Alemania                                                                        ,DEU ,1357268.4000000,9482.0428460,1978
Alemania                                                                        ,DEU ,1411701.4300000,11281.0233200,1979
Alemania                                                                        ,DEU ,1354782.9800000,12138.3081000,1980
Alemania                                                                        ,DEU ,1317791.8500000,10209.0731100,1981
Alemania                                                                        ,DEU ,1267150.2200000,9913.7376440,1982
Alemania                                                                        ,DEU ,1268455.7500000,9864.3449400,1983
Alemania                                                                        ,DEU ,1291691.5600000,9313.1694140,1984
Alemania                                                                        ,DEU ,1301253.1000000,9429.5692130,1985
Alemania                                                                        ,DEU ,1302264.9700000,13461.8310100,1986
Alemania                                                                        ,DEU ,1294253.9200000,16677.5107900,1987
Alemania                                                                        ,DEU ,1294253.9200000,17931.2823300,1988
Alemania                                                                        ,DEU ,1278982.3200000,17764.3764400,1989
Alemania                                                                        ,DEU ,1256074.0300000,22303.9613300,1990
Alemania                                                                        ,DEU ,1219016.8300000,23357.7577300,1991
Alemania                                                                        ,DEU ,1158796.5000000,26438.2303900,1992
Alemania                                                                        ,DEU ,1147631.3200000,25522.6295700,1993
Alemania                                                                        ,DEU ,1135937.6900000,27076.6067500,1994
Alemania                                                                        ,DEU ,1131718.7700000,31658.3493800,1995
Alemania                                                                        ,DEU ,1153137.9200000,30485.8665500,1996
Alemania                                                                        ,DEU ,1060398.2570000,26964.0494700,1997
Alemania                                                                        ,DEU ,1060398.2570000,27289.0593600,1998
Alemania                                                                        ,DEU ,1020391.2570000,26725.9152200,1999
Alemania                                                                        ,DEU ,1016295.5450000,23635.9292200,2000
Alemania                                                                        ,DEU ,1025983.5000000,23607.8828600,2001
Alemania                                                                        ,DEU ,1007404.9270000,25077.7290800,2002
Alemania                                                                        ,DEU ,1017485.9780000,30243.5765300,2003
Alemania                                                                        ,DEU ,1016628.7900000,34044.0536300,2004
Alemania                                                                        ,DEU ,981287.6843000,34507.3688100,2005
Alemania                                                                        ,DEU ,994686.0458000,36323.4477400,2006
Alemania                                                                        ,DEU ,992116.3026000,41587.2129000,2007
Alemania                                                                        ,DEU ,992116.3026000,45427.1516800,2008
Alemania                                                                        ,DEU ,950463.4086000,41485.9016500,2009
Alemania                                                                        ,DEU ,948006.7542000,41531.9342000,2010
Alemania                                                                        ,DEU ,929540.2634000,46644.7760300,2011
Alemania                                                                        ,DEU ,951716.7111000,43858.3630600,2012
Australia                                                                       ,AUS ,319036.5990000,3299.8432070,1970
Australia                                                                       ,AUS ,314446.1490000,3489.9522940,1971
Australia                                                                       ,AUS ,355430.7710000,3943.7876390,1972
Australia                                                                       ,AUS ,333243.5630000,4763.6283900,1973
Australia                                                                       ,AUS ,355842.8650000,6473.1651530,1974
Australia                                                                       ,AUS ,377568.6540000,6994.2099270,1975
Australia                                                                       ,AUS ,407572.6060000,7476.7487480,1976
Australia                                                                       ,AUS ,414927.1130000,7765.0705440,1977
Australia                                                                       ,AUS ,377956.1340000,8241.9972760,1978
Australia                                                                       ,AUS ,412123.0220000,9281.5233560,1979
Australia                                                                       ,AUS ,433837.4380000,10194.3187000,1980
Australia                                                                       ,AUS ,387882.4390000,11833.7432100,1981
Australia                                                                       ,AUS ,428739.9620000,12766.5222500,1982
Australia                                                                       ,AUS ,386673.5580000,11518.6685200,1983
Australia                                                                       ,AUS ,398135.5190000,12431.9458500,1984
Australia                                                                       ,AUS ,456717.6440000,11437.6644600,1985
Australia                                                                       ,AUS ,434735.1050000,11364.2394600,1986
Australia                                                                       ,AUS ,434706.1640000,11624.5395900,1987
Australia                                                                       ,AUS ,434706.1640000,14254.5575700,1988
Australia                                                                       ,AUS ,460970.0080000,17798.3142400,1989
Australia                                                                       ,AUS ,482298.2620000,18211.2745900,1990
Australia                                                                       ,AUS ,499346.7300000,18821.4773900,1991
Australia                                                                       ,AUS ,486991.9820000,18569.8127500,1992
Australia                                                                       ,AUS ,479463.7440000,17634.2563500,1993
Australia                                                                       ,AUS ,522429.5400000,18046.0202400,1994
Australia                                                                       ,AUS ,489294.1470000,20319.6306300,1995
Australia                                                                       ,AUS ,508882.8260000,21861.3255100,1996
Australia                                                                       ,AUS ,920773.4800000,23468.5968300,1997
Australia                                                                       ,AUS ,920773.4800000,21318.9641700,1998
Australia                                                                       ,AUS ,1190138.3800000,20533.0350600,1999
Australia                                                                       ,AUS ,1081244.4100000,21679.2478400,2000
Australia                                                                       ,AUS ,1241515.9900000,19490.8611100,2001
Australia                                                                       ,AUS ,1117450.0200000,20082.4832700,2002
Australia                                                                       ,AUS ,1023667.5800000,23447.0310000,2003
Australia                                                                       ,AUS ,1144343.8700000,30430.6764400,2004
Australia                                                                       ,AUS ,909262.0300000,33999.2428600,2005
Australia                                                                       ,AUS ,1119632.1000000,36044.9228100,2006
Australia                                                                       ,AUS ,892629.2700000,40960.0544900,2007
Australia                                                                       ,AUS ,892629.2700000,49601.6567100,2008
Australia                                                                       ,AUS ,1105167.2360000,42772.3591700,2009
Australia                                                                       ,AUS ,782102.6922000,52022.1256000,2010
Australia                                                                       ,AUS ,785795.1500000,62517.8337500,2011
Australia                                                                       ,AUS ,761686.2739000,68012.1479000,2012
Bangladesh                                                                      ,BGD ,112709.2960000,140.0027140,1970
Bangladesh                                                                      ,BGD ,107540.6250000,133.5514230,1971
Bangladesh                                                                      ,BGD ,109807.2650000,94.3816785,1972
Bangladesh                                                                      ,BGD ,111165.3180000,119.5597434,1973
Bangladesh                                                                      ,BGD ,110459.4270000,182.0199894,1974
Bangladesh                                                                      ,BGD ,115099.3040000,277.5706409,1975
Bangladesh                                                                      ,BGD ,113276.5900000,141.1971688,1976
Bangladesh                                                                      ,BGD ,114977.8900000,131.3732434,1977
Bangladesh                                                                      ,BGD ,118409.6240000,176.0339498,1978
Bangladesh                                                                      ,BGD ,120688.2930000,200.7696641,1979
Bangladesh                                                                      ,BGD ,115248.3810000,227.7519465,1980
Bangladesh                                                                      ,BGD ,116074.2380000,247.6496198,1981
Bangladesh                                                                      ,BGD ,117881.5590000,220.7188101,1982
Bangladesh                                                                      ,BGD ,112921.9330000,204.4176782,1983
Bangladesh                                                                      ,BGD ,118499.6860000,213.9966579,1984
Bangladesh                                                                      ,BGD ,118777.2480000,245.4539042,1985
Bangladesh                                                                      ,BGD ,121513.9830000,233.6580471,1986
Bangladesh                                                                      ,BGD ,122476.9310000,253.9744631,1987
Bangladesh                                                                      ,BGD ,122476.9310000,270.6996009,1988
Bangladesh                                                                      ,BGD ,126358.6380000,285.8292140,1989
Bangladesh                                                                      ,BGD ,126701.6960000,306.2687038,1990
Bangladesh                                                                      ,BGD ,126700.0130000,293.1604155,1991
Bangladesh                                                                      ,BGD ,128626.2440000,293.6449985,1992
Bangladesh                                                                      ,BGD ,128901.6760000,300.5557532,1993
Bangladesh                                                                      ,BGD ,131295.6090000,299.5330397,1994
Bangladesh                                                                      ,BGD ,136508.3290000,329.4240846,1995
Bangladesh                                                                      ,BGD ,139004.8940000,394.7174751,1996
Bangladesh                                                                      ,BGD ,129129.5060000,401.4986908,1997
Bangladesh                                                                      ,BGD ,129129.5060000,407.4291862,1998
Bangladesh                                                                      ,BGD ,138323.9000000,409.5431969,1999
Bangladesh                                                                      ,BGD ,136012.9000000,418.0689683,2000
Bangladesh                                                                      ,BGD ,142753.5280000,415.0344266,2001
Bangladesh                                                                      ,BGD ,143812.5730000,413.0802546,2002
Bangladesh                                                                      ,BGD ,146424.2510000,446.3106592,2003
Bangladesh                                                                      ,BGD ,147368.1700000,475.2919198,2004
Bangladesh                                                                      ,BGD ,151091.7020000,499.4619402,2005
