countryname,countrycode,co2,gdp,anio
España                                                                          ,ESP ,173364.3620000,1212.2893550,1970
España                                                                          ,ESP ,183755.7600000,1362.1655170,1971
España                                                                          ,ESP ,197677.1090000,1708.8086440,1972
España                                                                          ,ESP ,211641.5040000,2247.5534100,1973
España                                                                          ,ESP ,225300.0350000,2749.9246310,1974
España                                                                          ,ESP ,230871.7570000,3209.8374210,1975
España                                                                          ,ESP ,249915.3990000,3279.3126430,1976
España                                                                          ,ESP ,242955.1130000,3627.5906330,1977
España                                                                          ,ESP ,243130.6890000,4356.4392030,1978
España                                                                          ,ESP ,256038.7440000,5770.2146270,1979
España                                                                          ,ESP ,269540.1860000,6208.5780190,1980
España                                                                          ,ESP ,274923.5770000,5371.1664220,1981
España                                                                          ,ESP ,268301.7740000,5159.7086330,1982
España                                                                          ,ESP ,272032.2490000,4478.5002890,1983
España                                                                          ,ESP ,262132.7120000,4489.9889520,1984
España                                                                          ,ESP ,255905.0520000,4699.6557740,1985
España                                                                          ,ESP ,261037.1370000,6513.5032800,1986
España                                                                          ,ESP ,268265.7050000,8239.6138160,1987
España                                                                          ,ESP ,268265.7050000,9703.1238420,1988
España                                                                          ,ESP ,288737.8880000,10681.9712000,1989
España                                                                          ,ESP ,293343.0610000,13804.8768000,1990
España                                                                          ,ESP ,300579.8790000,14811.9028100,1991
España                                                                          ,ESP ,308497.8490000,16112.1889300,1992
España                                                                          ,ESP ,293901.6010000,13339.9085700,1993
España                                                                          ,ESP ,306314.4240000,13415.2870100,1994
España                                                                          ,ESP ,319459.3340000,15471.9627200,1995
España                                                                          ,ESP ,309786.2130000,16109.0844000,1996
España                                                                          ,ESP ,343785.3370000,14730.7971800,1997
España                                                                          ,ESP ,343785.3370000,15394.3514600,1998
España                                                                          ,ESP ,363569.6040000,15715.3322700,1999
España                                                                          ,ESP ,381031.1500000,14713.0657100,2000
España                                                                          ,ESP ,377629.9710000,15355.7031700,2001
España                                                                          ,ESP ,397417.3570000,17025.5319800,2002
España                                                                          ,ESP ,407869.6570000,21463.4426600,2003
España                                                                          ,ESP ,421107.4280000,24861.2828000,2004
España                                                                          ,ESP ,437016.7410000,26419.2968600,2005
España                                                                          ,ESP ,430218.3320000,28365.3134900,2006
España                                                                          ,ESP ,404869.4290000,32549.9709800,2007
España                                                                          ,ESP ,404869.4290000,35366.2596000,2008
España                                                                          ,ESP ,372822.5154000,32042.4740800,2009
España                                                                          ,ESP ,354618.0226000,30502.7197100,2010
España                                                                          ,ESP ,353857.3861000,31636.4463100,2011
España                                                                          ,ESP ,348257.2922000,28324.4293400,2012
