countryname,countrycode,co2,gdp,anio
Afganistán                                                            ,AFG ,11290.6882000,,1994
Angola                                                                ,AGO ,44657.2433500,328.6732947,1994
Albania                                                               ,ALB ,6793.7963000,586.4163396,1994
Andorra                                                               ,AND ,0.0000000,16234.8090100,1994
El mundo árabe                                                        ,ARB ,920110.6930000,1989.8406190,1994
Emiratos Árabes Unidos                                                ,ARE ,88014.5624300,25847.9261200,1994
Argentina                                                             ,ARG ,270948.3575000,7483.1396820,1994
Armenia                                                               ,ARM ,6107.5421000,400.5152381,1994
Samoa Americana                                                       ,ASM ,22.4541277,,1994
Antigua y Barbuda                                                     ,ATG ,380.8516560,8770.7516310,1994
Australia                                                             ,AUS ,522429.5400000,18046.0202400,1994
Austria                                                               ,AUT ,79755.7280000,25646.7006600,1994
Curacao                                                               ,CUW ,0.0000000,,1994
Azerbaiyán                                                            ,AZE ,48457.5630000,436.2168690,1994
Burundi                                                               ,BDI ,2976.8045000,156.8123012,1994
Bélgica                                                               ,BEL ,144398.1460000,24208.5548400,1994
Benin                                                                 ,BEN ,41216.9890000,279.6665043,1994
Burkina Faso                                                          ,BFA ,13311.2000000,193.0702363,1994
Bangladesh                                                            ,BGD ,131295.6090000,299.5330397,1994
Bulgaria                                                              ,BGR ,76810.4480000,1148.4943990,1994
Bahrein                                                               ,BHR ,15216.5132400,10130.5052300,1994
Bahamas                                                               ,BHS ,3183.0191900,11814.5632000,1994
Bosnia y Herzegovina                                                  ,BIH ,6509.4908000,319.0130351,1994
Belarús                                                               ,BLR ,139895.7760000,1460.0590760,1994
Belice                                                                ,BLZ ,592.8539200,2880.1254460,1994
Bermudas                                                              ,BMU ,491.2911260,31476.0631200,1994
Bolivia                                                               ,BOL ,156530.7060000,801.0460297,1994
Brasil                                                                ,BRA ,1455453.2240000,3500.6114900,1994
Barbados                                                              ,BRB ,1092.9623700,8121.5619190,1994
Brunei Darussalam                                                     ,BRN ,19028.9318000,14120.8549900,1994
Bhután                                                                ,BTN ,1614.6701500,509.1240695,1994
Botswana                                                              ,BWA ,11082.3870000,2970.1225680,1994
República Centroafricana                                              ,CAF ,116019.7530000,271.5056708,1994
Canadá                                                                ,CAN ,807222.8200000,19935.3814600,1994
Europa Central y del Báltico                                          ,CEB ,1108115.3680000,2808.6703480,1994
Suiza                                                                 ,CHE ,54836.8411000,41843.7568800,1994
Islas del Canal                                                       ,CHI ,0.0000000,,1994
Islas Caimán                                                          ,CYM ,0.0000000,,1994
Chile                                                                 ,CHL ,62276.6680000,4024.2169320,1994
China                                                                 ,CHN ,4613489.2470000,473.4922787,1994
Côte d'Ivoire                                                         ,CIV ,133399.8340000,605.2635873,1994
Camerún                                                               ,CMR ,83214.5710000,801.1617038,1994
"Congo, República Democrática del                                      ",COD ,1219214.3800000,144.5950827,1994
"Congo, República del                                                  ",COG ,56841.9658000,672.1631948,1994
Colombia                                                              ,COL ,170315.8152000,2284.8387490,1994
Comoras                                                               ,COM ,308.2683400,690.4717309,1994
Cabo Verde                                                            ,CPV ,228.6673200,1080.1623040,1994
Costa Rica                                                            ,CRI ,10457.2953000,3016.2243480,1994
Estados pequeos del Caribe                                            ,CSS ,40299.4926700,3208.6171270,1994
Cuba                                                                  ,CUB ,45487.6430000,2624.7567930,1994
Chipre                                                                ,CYP ,6692.7448600,11617.6927800,1994
República Checa                                                       ,CZE ,151011.5640000,4601.9523120,1994
Alemania                                                              ,DEU ,1135937.6900000,27076.6067500,1994
Djibouti                                                              ,DJI ,1825.0391100,790.0322652,1994
Dominica                                                              ,DMA ,138.2590490,3721.3471650,1994
Dinamarca                                                             ,DNK ,82945.8020000,29995.5796200,1994
República Dominicana                                                  ,DOM ,21226.5694800,1908.4847540,1994
Argelia                                                               ,DZA ,118601.8880000,1507.8653180,1994
Asia oriental y el Pacífico (excluido altos ingresos)                 ,EAP ,8598927.7180000,627.6463077,1994
inicial del dividendo demográfico                                     ,EAR ,8381294.5800000,1101.2337660,1994
Asia oriental y el Pacífico                                           ,EAS ,11230539.9200000,3808.0165650,1994
Europa y Asia central (excluido altos ingresos)                       ,ECA ,4414724.6630000,1842.1950910,1994
Europa y Asia central                                                 ,ECS ,9748546.0180000,11009.4322000,1994
Ecuador                                                               ,ECU ,36622.3280000,2026.1127150,1994
"Egipto, República Árabe de                                            ",EGY ,146652.1950000,849.4524991,1994
Zona del Euro                                                         ,EMU ,3423038.1330000,20586.9978900,1994
Eritrea                                                               ,ERI ,3603.5561000,239.6687350,1994
España                                                                ,ESP ,306314.4240000,13415.2870100,1994
Estonia                                                               ,EST ,34255.4135000,2814.8347340,1994
Etiopía                                                               ,ETH ,65880.9686000,125.5495699,1994
Unión Europea                                                         ,EUU ,4538646.0700000,16828.5048300,1994
Frágiles y situaciones de conflicto afectados                         ,FCS ,3303007.5620000,551.3259073,1994
Finlandia                                                             ,FIN ,80759.0957800,20301.3330900,1994
Fiji                                                                  ,FJI ,2084.0727000,2384.0957440,1994
Francia                                                               ,FRA ,538140.6000000,23496.5233200,1994
Islas Feroe                                                           ,FRO ,0.0000000,,1994
Micronesia (Estados Federados de)                                     ,FSM ,50.6225840,1909.8368390,1994
Gabón                                                                 ,GAB ,12266.2763000,3963.8680490,1994
Reino Unido                                                           ,GBR ,728677.7500000,19709.2381000,1994
Georgia                                                               ,GEO ,16492.9776000,519.8161871,1994
Ghana                                                                 ,GHA ,27994.3190000,328.7445864,1994
Gibraltar                                                             ,GIB ,305.4616070,,1994
Guinea                                                                ,GIN ,56326.3490000,477.7804689,1994
Gambia                                                                ,GMB ,1195.5143600,682.2185213,1994
Guinea-Bissau                                                         ,GNB ,1598.6278000,220.9602169,1994
Guinea Ecuatorial                                                     ,GNQ ,1878.0433400,210.4099825,1994
Grecia                                                                ,GRC ,97432.0727000,11091.2838600,1994
Granada                                                               ,GRD ,185.6269910,3272.3228000,1994
Groenlandia                                                           ,GRL ,0.0000000,18123.9630300,1994
Guatemala                                                             ,GTM ,18478.4720000,1293.4701980,1994
Guam                                                                  ,GUM ,65.8566316,,1994
Guyana                                                                ,GUY ,15223.2723000,712.7128542,1994
Ingreso alto                                                          ,HIC ,15506791.7500000,22031.0757600,1994
"Hong Kong, Región Administrativa Especial                             ",HKG ,40749.5879000,22502.5797400,1994
Honduras                                                              ,HND ,15631.6424000,836.6037387,1994
Países pobres muy endeudados (PPME)                                   ,HPC ,2644805.8480000,294.0102681,1994
Croacia                                                               ,HRV ,24087.7994400,,1994
Haití                                                                 ,HTI ,5181.8232100,285.1187788,1994
Hungría                                                               ,HUN ,78548.0930000,4173.3730240,1994
Maldivas                                                              ,MDV ,260.6471340,1431.6233410,1994
Sólo BIRF                                                             ,IBD ,18464915.7000000,1179.6533730,1994
BIRF y la AIF                                                         ,IBT ,22753928.7200000,1009.7203390,1994
total de la AIF                                                       ,IDA ,4289013.0170000,333.9211074,1994
mezcla de la AIF                                                      ,IDB ,806067.6335000,436.0966195,1994
Indonesia                                                             ,IDN ,2156232.2900000,912.2032751,1994
Sólo AIF                                                              ,IDX ,3482945.3840000,281.1779588,1994
Isla de Man                                                           ,IMN ,0.0000000,,1994
India                                                                 ,IND ,1581028.2200000,346.1029503,1994
No clasificado                                                        ,INX ,0.0000000,,1994
Irlanda                                                               ,IRL ,67790.0310000,15921.9748400,1994
"Irán, República Islámica del                                          ",IRN ,363853.5140000,1185.6863040,1994
Iraq                                                                  ,IRQ ,106658.0040000,,1994
Islandia                                                              ,ISL ,20984.0892000,24054.7346700,1994
Israel                                                                ,ISR ,50063.7458000,15992.3424000,1994
Italia                                                                ,ITA ,493411.7830000,19337.6309100,1994
Jamaica                                                               ,JAM ,10521.7448000,2159.8413720,1994
Jordania                                                              ,JOR ,15032.0313000,1434.4456980,1994
