countryname,countrycode,co2,gdp,anio
Alemania,DEU,1286569.8500000,2761.1668360,1970
Alemania,DEU,1283784.3000000,3192.1336180,1971
Alemania,DEU,1300781.1800000,3809.9814470,1972
Alemania,DEU,1364682.3200000,5046.7551070,1973
Alemania,DEU,1336033.7200000,5639.0776180,1974
Alemania,DEU,1273609.6600000,6236.3588850,1975
Alemania,DEU,1336497.0600000,6634.8568990,1976
Alemania,DEU,1315704.6700000,7682.9537760,1977
Alemania,DEU,1357268.4000000,9482.0428460,1978
Alemania,DEU,1411701.4300000,11281.0233200,1979
Alemania,DEU,1354782.9800000,12138.3081000,1980
Alemania,DEU,1317791.8500000,10209.0731100,1981
Alemania,DEU,1267150.2200000,9913.7376440,1982
Alemania,DEU,1268455.7500000,9864.3449400,1983
Alemania,DEU,1291691.5600000,9313.1694140,1984
Alemania,DEU,1301253.1000000,9429.5692130,1985
Alemania,DEU,1302264.9700000,13461.8310100,1986
Alemania,DEU,1294253.9200000,16677.5107900,1987
Alemania,DEU,1294253.9200000,17931.2823300,1988
Alemania,DEU,1278982.3200000,17764.3764400,1989
Alemania,DEU,1256074.0300000,22303.9613300,1990
Alemania,DEU,1219016.8300000,23357.7577300,1991
Alemania,DEU,1158796.5000000,26438.2303900,1992
Alemania,DEU,1147631.3200000,25522.6295700,1993
Alemania,DEU,1135937.6900000,27076.6067500,1994
Alemania,DEU,1131718.7700000,31658.3493800,1995
Alemania,DEU,1153137.9200000,30485.8665500,1996
Alemania,DEU,1060398.2570000,26964.0494700,1997
Alemania,DEU,1060398.2570000,27289.0593600,1998
Alemania,DEU,1020391.2570000,26725.9152200,1999
Alemania,DEU,1016295.5450000,23635.9292200,2000
Alemania,DEU,1025983.5000000,23607.8828600,2001
Alemania,DEU,1007404.9270000,25077.7290800,2002
Alemania,DEU,1017485.9780000,30243.5765300,2003
Alemania,DEU,1016628.7900000,34044.0536300,2004
Alemania,DEU,981287.6843000,34507.3688100,2005
Alemania,DEU,994686.0458000,36323.4477400,2006
Alemania,DEU,992116.3026000,41587.2129000,2007
Alemania,DEU,992116.3026000,45427.1516800,2008
Alemania,DEU,950463.4086000,41485.9016500,2009
Alemania,DEU,948006.7542000,41531.9342000,2010
Alemania,DEU,929540.2634000,46644.7760300,2011
Alemania,DEU,951716.7111000,43858.3630600,2012
Argelia,DZA,34603.8245000,336.2248556,1970
Argelia,DZA,38924.7223000,341.3889873,1971
Argelia,DZA,53749.0748000,442.3518782,1972
Argelia,DZA,67626.6106000,554.7551249,1973
Argelia,DZA,59317.0879000,817.9883085,1974
Argelia,DZA,55999.4944000,936.7900258,1975
Argelia,DZA,68739.1219000,1037.6070380,1976
Argelia,DZA,74887.9170000,1192.7438880,1977
Argelia,DZA,81970.0189000,1456.4193960,1978
Argelia,DZA,84371.3810000,1782.6979810,1979
Argelia,DZA,83331.1950000,2202.9973650,1980
Argelia,DZA,79915.6710000,2237.0863250,1981
Argelia,DZA,83128.8980000,2210.3019280,1982
Argelia,DZA,89059.2260000,2312.6556190,1983
Argelia,DZA,92775.9120000,2467.3464220,1984
Argelia,DZA,104029.8220000,2582.8795890,1985
Argelia,DZA,107927.8460000,2757.1305240,1986
Argelia,DZA,107912.7160000,2807.3302970,1987
Argelia,DZA,107912.7160000,2417.3766830,1988
Argelia,DZA,110026.6790000,2215.8475580,1989
Argelia,DZA,106445.8175000,2408.6888150,1990
Argelia,DZA,111649.0030000,1731.6112740,1991
Argelia,DZA,121636.2800000,1776.0366740,1992
Argelia,DZA,122490.4890000,1807.3285480,1993
Argelia,DZA,118601.8880000,1507.8653180,1994
Argelia,DZA,123799.1790000,1452.2694450,1995
Argelia,DZA,123728.7890000,1603.9379210,1996
Argelia,DZA,126561.2460000,1619.8062240,1997
Argelia,DZA,126561.2460000,1596.0037140,1998
Argelia,DZA,132794.4150000,1588.3475030,1999
Argelia,DZA,133778.1970000,1764.9738300,2000
Argelia,DZA,129334.8340000,1740.6424230,2001
Argelia,DZA,131222.6540000,1781.8373650,2002
Argelia,DZA,139592.3310000,2103.4130580,2003
Argelia,DZA,139846.6840000,2609.9456080,2004
Argelia,DZA,146241.4990000,3113.1010940,2005
Argelia,DZA,151655.3720000,3478.6548710,2006
Argelia,DZA,160415.2770000,3950.5193690,2007
Argelia,DZA,160415.2770000,4923.6292650,2008
Argelia,DZA,160849.9266000,3883.2612710,2009
Argelia,DZA,167674.6330000,4480.7992710,2010
Argelia,DZA,172303.5092000,5455.8535290,2011
Argelia,DZA,176471.2268000,5592.2570990,2012
Argentina,ARG,221957.0230000,1322.5908040,1970
Argentina,ARG,213551.7884000,1372.3743430,1971
Argentina,ARG,223912.2788000,1408.8652080,1972
Argentina,ARG,226956.0333000,2097.0225790,1973
Argentina,ARG,229456.3800000,2844.8636480,1974
Argentina,ARG,233416.7700000,2027.3371240,1975
Argentina,ARG,247051.6600000,1948.2246860,1976
Argentina,ARG,247370.8600000,2129.7082810,1977
Argentina,ARG,248238.3200000,2146.3644830,1978
Argentina,ARG,255920.0600000,2520.9216340,1979
Argentina,ARG,253870.9900000,2758.8352120,1980
Argentina,ARG,245776.7600000,2776.3219900,1981
Argentina,ARG,243613.0200000,2927.8975600,1982
Argentina,ARG,248681.7900000,3553.3777520,1983
Argentina,ARG,243111.5700000,2659.7086000,1984
Argentina,ARG,238145.7500000,2926.1269700,1985
Argentina,ARG,250785.2800000,3613.6217090,1986
Argentina,ARG,266245.2200000,3562.8756020,1987
Argentina,ARG,266245.2200000,3985.1912100,1988
Argentina,ARG,265608.3000000,2383.8676930,1989
Argentina,ARG,266555.0300000,4333.4829730,1990
Argentina,ARG,267188.7341000,5735.3603270,1991
Argentina,ARG,272139.1851000,6823.5376160,1992
Argentina,ARG,276522.7527000,6969.1180880,1993
Argentina,ARG,270948.3575000,7483.1396820,1994
Argentina,ARG,275096.4092000,7408.7082380,1995
Argentina,ARG,288246.2679000,7721.3545430,1996
Argentina,ARG,311514.7000000,8213.1272000,1997
Argentina,ARG,311514.7000000,8289.5057290,1998
Argentina,ARG,333886.5900000,7774.7362030,1999
Argentina,ARG,331450.8700000,7708.1009960,2000
Argentina,ARG,326483.8100000,7208.3715670,2001
Argentina,ARG,311051.9300000,2593.4041500,2002
Argentina,ARG,344797.0600000,3349.8061240,2003
Argentina,ARG,369944.1100000,4277.7213510,2004
Argentina,ARG,358385.6400000,5109.8513250,2005
Argentina,ARG,373600.5600000,5919.0120370,2006
Argentina,ARG,411503.6300000,7245.4483170,2007
Argentina,ARG,411503.6300000,9020.8730980,2008
Argentina,ARG,373409.0656000,8225.1371760,2009
Argentina,ARG,364684.2538000,10385.9644300,2010
Argentina,ARG,372873.1438000,12848.8642000,2011
Argentina,ARG,380295.3204000,13082.6643300,2012
Australia,AUS,319036.5990000,3299.8432070,1970
Australia,AUS,314446.1490000,3489.9522940,1971
Australia,AUS,355430.7710000,3943.7876390,1972
Australia,AUS,333243.5630000,4763.6283900,1973
Australia,AUS,355842.8650000,6473.1651530,1974
Australia,AUS,377568.6540000,6994.2099270,1975
Australia,AUS,407572.6060000,7476.7487480,1976
Australia,AUS,414927.1130000,7765.0705440,1977
Australia,AUS,377956.1340000,8241.9972760,1978
Australia,AUS,412123.0220000,9281.5233560,1979
Australia,AUS,433837.4380000,10194.3187000,1980
Australia,AUS,387882.4390000,11833.7432100,1981
Australia,AUS,428739.9620000,12766.5222500,1982
Australia,AUS,386673.5580000,11518.6685200,1983
Australia,AUS,398135.5190000,12431.9458500,1984
Australia,AUS,456717.6440000,11437.6644600,1985
Australia,AUS,434735.1050000,11364.2394600,1986
Australia,AUS,434706.1640000,11624.5395900,1987
Australia,AUS,434706.1640000,14254.5575700,1988
Australia,AUS,460970.0080000,17798.3142400,1989
Australia,AUS,482298.2620000,18211.2745900,1990
Australia,AUS,499346.7300000,18821.4773900,1991
Australia,AUS,486991.9820000,18569.8127500,1992
Australia,AUS,479463.7440000,17634.2563500,1993
Australia,AUS,522429.5400000,18046.0202400,1994
Australia,AUS,489294.1470000,20319.6306300,1995
Australia,AUS,508882.8260000,21861.3255100,1996
