countryname,countrycode,co2,gdp,anio
Afganistán,AFG,14306.6163,156.51893940000002,1970
Angola,AGO,60648.60107999999,,1970
Albania,ALB,6960.8682,,1970
Andorra,AND,0.0,3238.55685,1970
Elmundoárabe,ARB,552362.062,262.8674185,1970
EmiratosÁrabesUnidos,ARE,32962.18941,,1970
Argentina,ARG,221957.023,1322.590804,1970
Armenia,ARM,6245.9877,,1970
SamoaAmericana,ASM,13.0733582,,1970
AntiguayBarbuda,ATG,0.0,,1970
Australia,AUS,319036.599,3299.843207,1970
Austria,AUT,68415.153,2058.7690789999997,1970
Curacao,CUW,0.0,,1970
Azerbaiyán,AZE,26322.7798,,1970
Burundi,BDI,2203.1094,69.769304,1970
Bélgica,BEL,159837.736,2765.891005,1970
Benin,BEN,35206.06,114.55659650000001,1970
BurkinaFaso,BFA,7373.7537,81.4998987,1970
Bangladesh,BGD,112709.296,140.002714,1970
Bulgaria,BGR,88037.706,,1970
Bahrein,BHR,3808.819296,,1970
Bahamas,BHS,3564.4186,3178.844552,1970
BosniayHerzegovina,BIH,23292.6857,,1970
Belarús,BLR,137111.879,,1970
Belice,BLZ,312.98067000000003,435.69046940000004,1970
Bermudas,BMU,349.390182,3387.2727270000005,1970
Bolivia,BOL,172962.285,226.8069714,1970
Brasil,BRA,1260982.146,445.0231006,1970
Barbados,BRB,709.79228,,1970
BruneiDarussalam,BRN,11477.21,1382.548304,1970
Bhután,BTN,862.6929,,1970
Botswana,BWA,11350.009,153.3261344,1970
RepúblicaCentroafricana,CAF,106092.4177,104.41276590000001,1970
Canadá,CAN,494973.635,4121.932809,1970
EuropaCentralydelBáltico,CEB,1333732.618,,1970
Suiza,CHE,50087.6589,3927.286533,1970
IslasdelCanal,CHI,0.0,,1970
IslasCaimán,CYM,73.9447863,,1970
Chile,CHL,42181.676,932.8615692,1970
China,CHN,1873971.675,113.1629916,1970
Côted'Ivoire,CIV,116579.635,285.2733698,1970
Camerún,CMR,65737.639,177.9209519,1970
"Congo,RepúblicaDemocráticadel",COD,1550424.37,243.74974440000003,1970
"Congo,Repúblicadel",COG,68611.831,207.22270569999998,1970
Colombia,COL,128348.959,335.118188,1970
Comoras,COM,203.41403,,1970
CaboVerde,CPV,193.02136000000002,,1970
CostaRica,CRI,5198.3474,533.0915649,1970
EstadospequeosdelCaribe,CSS,35617.42626,755.1430154,1970
Cuba,CUB,42413.992,653.4265032000001,1970
Chipre,CYP,2760.50659,,1970
RepúblicaCheca,CZE,212540.429,,1970
Alemania,DEU,1286569.85,2761.166836,1970
Djibouti,DJI,1048.39544,,1970
Dominica,DMA,51.033044,,1970
Dinamarca,DNK,78803.65,3464.4551560000004,1970
RepúblicaDominicana,DOM,8865.8224,330.1316526,1970
Argelia,DZA,34603.8245,336.2248556,1970
AsiaorientalyelPacífico(excluidoaltosingresos),EAP,3415737.277,113.4607648,1970
inicialdeldividendodemográfico,EAR,4042013.498,223.74193300000002,1970
AsiaorientalyelPacífico,EAS,4878563.391,315.66544480000005,1970
EuropayAsiacentral(excluidoaltosingresos),ECA,3593986.084,,1970
EuropayAsiacentral,ECS,9050460.734,1377.5703310000001,1970
Ecuador,ECU,13651.5739,471.63071950000005,1970
"Egipto,RepúblicaÁrabede",EGY,56857.501,233.01371630000003,1970
ZonadelEuro,EMU,3346873.684,2237.32132,1970
Eritrea,ERI,2915.0338,,1970
España,ESP,173364.362,1212.2893550000001,1970
Estonia,EST,64921.3432,,1970
Etiopía,ETH,54446.07,,1970
UniónEuropea,EUU,4595428.711,1879.612459,1970
Frágilesysituacionesdeconflictoafectados,FCS,3061234.239,141.1182453,1970
Finlandia,FIN,58988.57,2465.6448800000003,1970
Fiji,FJI,1144.0941300000002,422.3867324,1970
Francia,FRA,614501.57,2857.252176,1970
IslasFeroe,FRO,0.0,,1970
Micronesia(EstadosFederadosde),FSM,22.128257,,1970
Gabón,GAB,6244.1816,549.4566147999999,1970
ReinoUnido,GBR,839587.41,2347.5443179999997,1970
Georgia,GEO,49641.595,,1970
Ghana,GHA,21483.251,253.56656380000004,1970
Gibraltar,GIB,75.0005781,,1970
Guinea,GIN,49112.868,,1970
Gambia,GMB,806.07587,112.60919609999999,1970
Guinea-Bissau,GNB,915.5468,111.68852179999999,1970
GuineaEcuatorial,GNQ,120.08645600000001,218.208409,1970
Grecia,GRC,38651.134,1494.3878550000002,1970
Granada,GRD,61.630936,,1970
Groenlandia,GRL,0.0,1498.276437,1970
Guatemala,GTM,8503.6409,349.0249756,1970
Guam,GUM,40.177074,,1970
Guyana,GUY,13431.8966,379.89372050000003,1970
Ingresoalto,HIC,13121833.63,2726.165532,1970
"HongKong,RegiónAdministrativaEspecial",HKG,10326.94763,960.0319615,1970
Honduras,HND,6767.37,266.1362102,1970
Paísespobresmuyendeudados(PPME),HPC,2900772.185,154.5299034,1970
Croacia,HRV,25740.655,,1970
Haití,HTI,4507.6637,70.8262853,1970
Hungría,HUN,87733.157,,1970
Maldivas,MDV,21.378293600000003,,1970
SóloBIRF,IBD,10632087.25,230.2515923,1970
BIRFylaAIF,IBT,14541370.31,219.0689445,1970
totaldelaAIF,IDA,3909283.056,165.16413219999998,1970
mezcladelaAIF,IDB,434268.8371,202.7753144,1970
Indonesia,IDN,339677.08,79.71453609999999,1970
SóloAIF,IDX,3475014.218,150.8517007,1970
IsladeMan,IMN,0.0,,1970
India,IND,746498.11,112.4344935,1970
Noclasificado,INX,0.0,,1970
Irlanda,IRL,47233.244,1488.294699,1970
"Irán,RepúblicaIslámicadel",IRN,141820.332,384.9441235,1970
Iraq,IRQ,51298.7594,330.8852017,1970
Islandia,ISL,3109.3799,2580.227702,1970
Israel,ISR,17255.7912,2370.096391,1970
Italia,ITA,388249.306,2106.863953,1970
Jamaica,JAM,7210.3984,748.9574615,1970
Jordania,JOR,2090.95161,371.5727679,1970
Japón,JPN,941132.584,2037.559901,1970
Kazajstán,KAZ,186230.159,,1970
Kenya,KEN,21917.286,141.8804934,1970
Kirguistán,KGZ,15173.6805,,1970
Camboya,KHM,23775.9907,102.6789615,1970
Kiribati,KIR,0.0,279.47214219999995,1970
SaintKittsyNevis,KNA,64.772524,363.166455,1970
"Corea,Repúblicade",KOR,88641.352,279.3049689,1970
Kuwait,KWT,68097.3281,3860.547892,1970
AméricaLatinayelCaribe(excluidoaltosingresos),LAC,2374322.704,580.7851393,1970
RepúblicaDemocráticaPopularLao,LAO,22771.992,,1970
Líbano,LBN,6392.4529,,1970
Liberia,LBR,1688.8839,,1970
Libia,LBY,70829.5514,,1970
SantaLucía,LCA,140.294956,,1970
AméricaLatinayelCaribe,LCN,2454614.933,613.0847716,1970
Paísesmenosdesarrollados:clasificacióndelasNacionesUnidas,LDC,3335411.79,,1970
Paísesdeingresobajo,LIC,2162926.612,142.2558418,1970
Liechtenstein,LIE,0.0,4236.731434,1970
SriLanka,LKA,16466.9003,183.9274715,1970
Mauritania,MRT,4924.7542,269.80355089999995,1970
Paísesdeingresomedianobajo,LMC,3705324.529,150.7238135,1970
Ingresomedianoybajo,LMY,13935338.17,212.4261244,1970
Lesotho,LSO,1794.4611,66.8061894,1970
avanzadadeldividendodemográfico,LTE,7391225.657,256.8096427,1970
Lituania,LTU,102299.251,,1970
Luxemburgo,LUX,19411.8712,4449.540387,1970
Letonia,LVA,45385.3107,,1970
"RegiónAdministrativaEspecialdeMacao,China",MAC,272.79452779999997,,1970
IsladeSanMartín(partefrancesa),MAF,0.0,,1970
Marruecos,MAR,19559.297,246.0157693,1970
Mónaco,MCO,0.0,12479.72526,1970
RepúblicadeMoldova,MDA,26313.2626,,1970
Madagascar,MDG,45314.072,169.0705601,1970
OrienteMedioyNortedeÁfrica,MEA,634578.7486,299.87553030000004,1970
México,MEX,210547.8556,689.7949287,1970
IslasMarshall,MHL,2.4735878,,1970
Ingresomediano,MIC,11772411.55,218.20500319999996,1970
MacedoniadelNorte,MKD,12061.4093,,1970
Malí,MLI,25111.389,60.47565,1970
Malta,MLT,827.18557,828.4216802999999,1970
Myanmar,MMR,655739.12,,1970
OrienteMedioyNortedeÁfrica(excluidoaltosingresos),MNA,408996.9052,,1970
Montenegro,MNE,0.0,,1970
Mongolia,MNG,13026.344,,1970
Mariana,MNP,2.6622976,,1970
Mozambique,MOZ,45072.996,,1970
Mauricio,MUS,693.46024,,1970
Malawi,MWI,6200.6142,61.765537,1970
Malasia,MYS,113374.2398,357.6567994,1970
AméricadelNorte,NAC,5895826.525,5129.091844,1970
Namibia,NAM,7251.1455,,1970
NuevaCaledonia,NCL,0.0,3203.7114460000003,1970
Níger,NER,8021.2861,144.08512580000001,1970
Nigeria,NGA,74939.732,224.1044767,1970
Nicaragua,NIC,8313.1054,322.7016355,1970
PaísesBajos,NLD,183916.774,2927.0729579999997,1970
Noruega,NOR,57051.381,3306.219476,1970
Nepal,NPL,19946.0752,71.718603,1970
Nauru,NRU,0.0,,1970
NuevaZelandia,NZL,49600.563,2311.027605,1970
MiembrosOCDE,OED,13038270.36,2607.07771,1970
Omán,OMN,11262.66036,354.0776984,1970
OtrosEstadospequeos,OSS,133928.8931,285.92263360000004,1970
Pakistán,PAK,87131.5379,172.46567199999998,1970
Panamá,PAN,5712.0345,889.238293,1970
Perú,PER,55258.28,552.1795635999999,1970
Filipinas,PHL,78220.635,186.77468059999998,1970
Palau,PLW,0.0,,1970
PapuaNuevaGuinea,PNG,6716.2282,231.9472011,1970
Polonia,POL,466179.59,,1970
previaaldividendodemográfico,PRE,2826299.499,98.21086020000001,1970
PuertoRico,PRI,2377.51686,1852.354673,1970
"Corea,RepúblicaPopularDemocráticade",PRK,94041.917,,1970
Portugal,PRT,26924.831,934.0820758,1970
Paraguay,PRY,52446.298,240.26992119999997,1970
RiberaOccidentalyGaza,PSE,0.0,,1970
EstadospequeosdelasIslasdelPacfico,PSS,5144.628938,,1970
posterioraldividendodemográfico,PST,12754630.64,2773.966078,1970
PolinesiaFrancesa,PYF,0.0,2299.072349,1970
Qatar,QAT,13147.53868,2755.732617,1970
Rumania,ROU,176279.491,,1970
FederacióndeRusia,RUS,2240872.97,,1970
Rwanda,RWA,2033.9629,58.5251674,1970
Asiameridional,SAS,997942.6069,120.13234369999999,1970
ArabiaSaudita,SAU,78220.3308,921.3459441,1970
Sudán,SDN,59376.754,176.95405380000003,1970
Senegal,SEN,8236.3061,304.7343053,1970
Singapur,SGP,0.0,925.8039129000001,1970
IslasSalomón,SLB,3570.2862,,1970
SierraLeona,SLE,7406.0861,158.26142959999999,1970
ElSalvador,SLV,4927.5951,308.4397022,1970
SanMarino,SMR,0.0,,1970
Somalia,SOM,13181.7,93.6547077,1970
Serbia,SRB,0.0,,1970
ÁfricaalsurdelSahara(excluidoaltosingresos),SSA,3144352.589,221.38196040000003,1970
SudándelSur,SSD,0.0,,1970
ÁfricaalsurdelSahara,SSF,3145184.861,221.80063130000002,1970
PequeñosEstados,SST,174690.9483,462.60700949999995,1970
SantoToméyPríncipe,STP,39.299597,,1970
Suriname,SUR,10002.5777,747.1509603999999,1970
RepúblicaEslovaca,SVK,53503.762,,1970
Eslovenia,SVN,11111.9233,,1970
Suecia,SWE,113240.349,4736.217149,1970
Eswatini,SWZ,1607.1763,260.0277731,1970
SintMaarten(Dutchpart),SXM,0.0,,1970
Seychelles,SYC,138.812175,343.88118210000005,1970
RepúblicaÁrabeSiria,SYR,11176.8869,337.03958389999997,1970
IslasTurcasyCaicos,TCA,1.4653646,,1970
Chad,TCD,14368.377,128.791915,1970
AsiaorientalyelPacífico(BIRFylaAIF),TEA,3321682.286,114.70812279999998,1970
EuropayAsiacentral(BIRFylaAIF),TEC,4262185.82,,1970
Togo,TGO,9572.318,120.05388090000001,1970
Tailandia,THA,109547.883,192.12762869999997,1970
Tayikistán,TJK,7693.7633,,1970
Turkmenistán,TKM,29940.890310000003,,1970
AméricaLatinayelCaribe(BIRFylaAIF),TLA,2405377.825,595.5463913,1970
Timor-Leste,TLS,587.7531809999999,,1970
OrienteMedioyNortedeÁfrica(BIRFylaAIF),TMN,408996.9052,,1970
Tonga,TON,56.636886,,1970
Asiameridional(BIRFylaAIF),TSA,997942.6069,120.13234369999999,1970
ÁfricaalsurdelSahara(BIRFylaAIF),TSS,3145184.861,221.80063130000002,1970
TrinidadyTobago,TTO,0.0,869.3513582,1970
Túnez,TUN,8479.4321,284.2204545,1970
Turquía,TUR,94428.85,489.9302693,1970
Tuvalu,TUV,2.265914,,1970
Tanzanía,TZA,98932.745,,1970
Uganda,UGA,14722.559,133.97168,1970
Ucrania,UKR,560722.4,,1970
Ingresomedianoalto,UMC,8067087.025,266.3362412,1970
Uruguay,URY,25510.63,760.5886889999999,1970
EstadosUnidos,USA,5400503.5,5234.296665999999,1970
Uzbekistán,UZB,82935.19789,,1970
SanVicenteylasGranadinas,VCT,67.630545,203.84713119999998,1970
Venezuela,VEN,137392.304,1014.4535300000001,1970
IslasVírgenesBritánicas,VGB,31.9016,,1970
IslasVírgenes(EE.UU.),VIR,21.769585,,1970
VietNam,VNM,79128.716,,1970
Vanuatu,VUT,230.16681,,1970
Mundo,WLD,27660218.47,803.9465967,1970
Samoa,WSM,116.57715300000001,,1970
Kosovo,XKX,0.0,,1970
"Yemen,Rep.del",YEM,4839.5209,,1970
Sudáfrica,ZAF,253769.713,834.5527676,1970
Zambia,ZMB,234168.07,436.76871280000006,1970
Zimbabwe,ZWE,24033.927,356.2296015,1970
Afganistán,AFG,14391.7782,159.5675785,1971
Angola,AGO,39162.17143,,1971
Albania,ALB,6950.0361,,1971
Andorra,AND,0.0,3498.1736520000004,1971
Elmundoárabe,ARB,576946.1523,295.97172850000004,1971
EmiratosÁrabesUnidos,ARE,41377.84513,,1971
Argentina,ARG,213551.7884,1372.374343,1971
Armenia,ARM,6383.672,,1971
SamoaAmericana,ASM,13.247325699999998,,1971
AntiguayBarbuda,ATG,0.0,,1971
Australia,AUS,314446.149,3489.9522939999997,1971
Austria,AUT,71138.884,2380.978443,1971
Curacao,CUW,0.0,,1971
Azerbaiyán,AZE,26657.9303,,1971
Burundi,BDI,2201.9823,71.62677070000001,1971
Bélgica,BEL,154470.0637,3082.927955,1971
Benin,BEN,34456.5724,112.57008909999999,1971
BurkinaFaso,BFA,7344.6457,84.28781500000001,1971
Bangladesh,BGD,107540.625,133.551423,1971
Bulgaria,BGR,88234.353,,1971
Bahrein,BHR,3952.2316590000005,,1971
Bahamas,BHS,0.0,3297.50588,1971
BosniayHerzegovina,BIH,23613.1932,,1971
Belarús,BLR,138534.12,,1971
Belice,BLZ,324.49975,474.44421619999997,1971
Bermudas,BMU,350.067507,3866.3003659999995,1971
Bolivia,BOL,122460.075,239.128125,1971
Brasil,BRA,968552.518,504.74951610000005,1971
Barbados,BRB,703.0532,,1971
BruneiDarussalam,BRN,8060.8666,1455.898307,1971
Bhután,BTN,876.68893,,1971
Botswana,BWA,6558.9852,196.42312009999998,1971
RepúblicaCentroafricana,CAF,101998.9987,109.4532998,1971
Canadá,CAN,512428.63,4520.162865,1971
EuropaCentralydelBáltico,CEB,1341337.304,,1971
Suiza,CHE,51338.6844,4694.717163,1971
IslasdelCanal,CHI,0.0,,1971
IslasCaimán,CYM,74.5234564,,1971
Chile,CHL,43511.1332,1094.681042,1971
China,CHN,1914331.77,118.6545778,1971
Côted'Ivoire,CIV,113930.493,297.2798585,1971
Camerún,CMR,64421.969,184.46239509999998,1971
"Congo,RepúblicaDemocráticadel",COD,899793.29,272.0653633,1971
"Congo,Repúblicadel",COG,42385.55,235.8358995,1971
Colombia,COL,113238.1722,355.40756580000004,1971
Comoras,COM,204.84243,,1971
CaboVerde,CPV,191.700604,,1971
CostaRica,CRI,5259.1809,568.095548,1971
EstadospequeosdelCaribe,CSS,35237.91135,811.13191,1971
Cuba,CUB,40754.466,779.7241411,1971
Chipre,CYP,2789.77946,,1971
RepúblicaCheca,CZE,212880.7745,,1971
Alemania,DEU,1283784.3,3192.133618,1971
Djibouti,DJI,1059.44513,,1971
Dominica,DMA,52.877962,,1971
Dinamarca,DNK,74949.3262,3845.506089,1971
RepúblicaDominicana,DOM,9420.4392,360.15223,1971
Argelia,DZA,38924.7223,341.3889873,1971
AsiaorientalyelPacífico(excluidoaltosingresos),EAP,3130419.809,118.748201,1971
inicialdeldividendodemográfico,EAR,3671449.877,235.7142831,1971
AsiaorientalyelPacífico,EAS,4604553.968,341.9602422,1971
EuropayAsiacentral(excluidoaltosingresos),ECA,3608287.036,,1971
EuropayAsiacentral,ECS,9101331.929,1544.632413,1971
Ecuador,ECU,12552.5025,440.8573691000001,1971
"Egipto,RepúblicaÁrabede",EGY,56632.349,243.80678769999997,1971
ZonadelEuro,EMU,3387770.019,2521.881797,1971
Eritrea,ERI,2934.123,,1971
España,ESP,183755.76,1362.165517,1971
Estonia,EST,65084.3648,,1971
Etiopía,ETH,54376.102,,1971
UniónEuropea,EUU,4633749.25,2113.950964,1971
Frágilesysituacionesdeconflictoafectados,FCS,2107754.795,140.1686862,1971
Finlandia,FIN,58500.5289,2716.19,1971
Fiji,FJI,1157.89338,466.0139527,1971
Francia,FRA,629907.505,3169.0349920000003,1971
IslasFeroe,FRO,0.0,,1971
Micronesia(EstadosFederadosde),FSM,24.944894,,1971
Gabón,GAB,4699.55166,635.4958568,1971
ReinoUnido,GBR,837410.77,2649.801514,1971
Georgia,GEO,49655.615,,1971
Ghana,GHA,21120.576,269.36832519999996,1971
Gibraltar,GIB,0.0,,1971
Guinea,GIN,48043.582,,1971
Gambia,GMB,817.53221,116.5587618,1971
Guinea-Bissau,GNB,908.9924,109.3318389,1971
GuineaEcuatorial,GNQ,121.62293799999999,217.3258292,1971
Grecia,GRC,43150.9068,1652.326599,1971
Granada,GRD,61.595327000000005,,1971
Groenlandia,GRL,0.0,1876.5032390000001,1971
Guatemala,GTM,9090.5758,355.0903711,1971
Guam,GUM,38.320182,,1971
Guyana,GUY,10682.1091,395.2029189,1971
Ingresoalto,HIC,13264009.5,2996.671133,1971
"HongKong,RegiónAdministrativaEspecial",HKG,10409.174490000001,1106.469717,1971
Honduras,HND,7399.3506,261.2465571,1971
Paísespobresmuyendeudados(PPME),HPC,1986040.675,162.1786653,1971
Croacia,HRV,25722.964,,1971
Haití,HTI,4635.4858,76.2636368,1971
Hungría,HUN,90705.017,,1971
Maldivas,MDV,21.8498624,,1971
SóloBIRF,IBD,10199440.58,245.72047650000002,1971
BIRFylaAIF,IBT,13010949.77,231.15909109999998,1971
totaldelaAIF,IDA,2811509.186,161.9835585,1971
mezcladelaAIF,IDB,421624.8351,183.30998119999998,1971
Indonesia,IDN,294004.88,79.17818929999999,1971
SóloAIF,IDX,2389884.351,156.5985374,1971
IsladeMan,IMN,0.0,,1971
India,IND,754018.475,118.60324209999999,1971
Noclasificado,INX,0.0,,1971
Irlanda,IRL,50207.9495,1705.972597,1971
"Irán,RepúblicaIslámicadel",IRN,150900.254,468.956812,1971
Iraq,IRQ,57101.4776,376.89187480000004,1971
Islandia,ISL,4121.829,3256.9881800000003,1971
Israel,ISR,17423.1433,2186.950147,1971
Italia,ITA,398701.797,2305.609774,1971
Jamaica,JAM,7218.1041,808.6356777999999,1971
Jordania,JOR,2157.92587,374.88842410000007,1971
Japón,JPN,960481.941,2272.077802,1971
Kazajstán,KAZ,183204.846,,1971
Kenya,KEN,22376.806,151.82993269999997,1971
Kirguistán,KGZ,15407.791,,1971
Camboya,KHM,18829.4337,135.84865209999998,1971
Kiribati,KIR,0.0,293.9329065,1971
SaintKittsyNevis,KNA,63.484853,441.1046629,1971
"Corea,Repúblicade",KOR,89248.78,301.17656769999996,1971
Kuwait,KWT,71418.7885,4858.710663,1971
AméricaLatinayelCaribe(excluidoaltosingresos),LAC,1972606.599,628.9316495,1971
RepúblicaDemocráticaPopularLao,LAO,15370.2654,,1971
Líbano,LBN,6547.0607,,1971
Liberia,LBR,1707.8343100000002,,1971
Libia,LBY,54206.5029,,1971
SantaLucía,LCA,140.35124199999998,,1971
AméricaLatinayelCaribe,LCN,2058777.363,668.5500652000001,1971
Paísesmenosdesarrollados:clasificacióndelasNacionesUnidas,LDC,2233618.923,,1971
Paísesdeingresobajo,LIC,1472219.658,154.50451619999998,1971
Liechtenstein,LIE,0.0,4827.348497999999,1971
SriLanka,LKA,16291.7454,185.85988930000002,1971
Mauritania,MRT,4811.3556,283.9777204,1971
Paísesdeingresomedianobajo,LMC,3243737.301,153.1946717,1971
Ingresomedianoybajo,LMY,12388766.78,223.691867,1971
Lesotho,LSO,1636.0716,72.6592112,1971
avanzadadeldividendodemográfico,LTE,7112957.547,279.34360239999995,1971
Lituania,LTU,102814.511,,1971
Luxemburgo,LUX,18172.2987,4591.7475030000005,1971
Letonia,LVA,45620.2012,,1971
"RegiónAdministrativaEspecialdeMacao,China",MAC,274.2888557,,1971
IsladeSanMartín(partefrancesa),MAF,0.0,,1971
Marruecos,MAR,19915.828,265.2076804,1971
Mónaco,MCO,0.0,13812.718180000002,1971
RepúblicadeMoldova,MDA,26494.224,,1971
Madagascar,MDG,31699.804,177.49841,1971
OrienteMedioyNortedeÁfrica,MEA,669140.8086,336.46382420000003,1971
México,MEX,215289.415,738.5583789,1971
IslasMarshall,MHL,2.5394361,,1971
